index,input,match,non_exact,street,coordinate,tiger,lr
"4970","5540  DENDY TRCE  FAIRBURN, fulton_county, GA, 302135134","Match","Non_Exact","5540 DENDY TRCE, FAIRBURN, GA, 30213","-84.59917466599995,33.61018268600003","627596499","L"
"3640","132  GREENWOOD ST  FAIRBURN, fulton_county, GA, 302131721","Match","Non_Exact","132 GREENWOOD ST, FAIRBURN, GA, 30213","-84.57261066499996,33.56274414100005","17350697","L"
"4971","5544  DENDY TRCE  FAIRBURN, fulton_county, GA, 302135134","Match","Non_Exact","5544 DENDY TRCE, FAIRBURN, GA, 30213","-84.59925557099996,33.61011234500006","627596499","L"
"2306","130  SUNRISE CT  COLLEGE PARK, fulton_county, GA, 303492530","Match","Non_Exact","130 SUNRISE CT, ATLANTA, GA, 30349","-84.52102039499994,33.62082620000007","17383080","L"
"3638","88  GREENWOOD ST  FAIRBURN, fulton_county, GA, 302131719","Match","Non_Exact","88 GREENWOOD ST, FAIRBURN, GA, 30213","-84.57325317399994,33.56222963300007","17433129","L"
"4969","5532  DENDY TRCE  FAIRBURN, fulton_county, GA, 302135134","Match","Non_Exact","5532 DENDY TRCE, FAIRBURN, GA, 30213","-84.59904027499994,33.61034114600005","627596499","L"
"2305","4900  WELCOME ALL RD SW COLLEGE PARK, fulton_county, GA, 303492548","No_Match"
"3639","126  GREENWOOD ST  FAIRBURN, fulton_county, GA, 302131721","Match","Non_Exact","126 GREENWOOD ST, FAIRBURN, GA, 30213","-84.57267285999995,33.56269429500003","17350697","L"
"2304","4120  SUNRISE TRL  COLLEGE PARK, fulton_county, GA, 303492534","No_Match"
"2303","4100  SUNRISE TRL  COLLEGE PARK, fulton_county, GA, 303492534","No_Match"
"2302","4195  SUNRISE TRL  ATLANTA, fulton_county, GA, 303492533","No_Match"
"2301","4880  WELCOME ALL RD SW COLLEGE PARK, fulton_county, GA, 303492546","No_Match"
"2300","4685  KELDEN CIR  ATLANTA, fulton_county, GA, 303491912","Match","Non_Exact","4685 KELDEN CIR, ATLANTA, GA, 30349","-84.51909916999995,33.62955314300007","17338816","R"
"3630","198  FAYETTEVILLE RD  FAIRBURN, fulton_county, GA, 302131711","Match","Non_Exact","198 FAYETTEVILLE RD, FAIRBURN, GA, 30213","-84.57338912599994,33.56597719200005","17350680","L"
"4961","6254  BALTUSROL TRCE  FAIRBURN, fulton_county, GA, 302135123","Match","Non_Exact","6254 BALTUSROL TRCE, FAIRBURN, GA, 30213","-84.59661008499995,33.60812262200005","627596544","L"
"3631","304  FAYETTEVILLE RD  FAIRBURN, fulton_county, GA, 302131713","Match","Non_Exact","304 FAYETTEVILLE RD, FAIRBURN, GA, 30213","-84.57099504299998,33.56449980800005","17350696","L"
"4962","6258  BALTUSROL TRCE  FAIRBURN, fulton_county, GA, 302135123","Match","Non_Exact","6258 BALTUSROL TRCE, FAIRBURN, GA, 30213","-84.59677267599994,33.60805676900003","627596544","L"
"3632","90  PINE ST  ROSWELL, fulton_county, GA, 30075","Match","Non_Exact","90 PINE ST, MOUNTAIN PARK, GA, 30075","-84.36365448899994,34.00920705300007","17352297","L"
"4963","5276  ROSEWOOD PL  FAIRBURN, fulton_county, GA, 302135113","Match","Non_Exact","5276 ROSEWOOD PL, FAIRBURN, GA, 30213","-84.59397147999994,33.60787549200006","644645671","R"
"3633","100  PINE ST  ROSWELL, fulton_county, GA, 30075","No_Match"
"4964","5304  ROSEWOOD PL  FAIRBURN, fulton_county, GA, 302135141","Match","Non_Exact","5304 ROSEWOOD PL, FAIRBURN, GA, 30213","-84.59515635799994,33.60754368800008","644645671","R"
"3634","507  MEHAFFEY DR  FAIRBURN, fulton_county, GA, 302131732","No_Match"
"4965","5320  ROSEWOOD PL  FAIRBURN, fulton_county, GA, 302135141","Match","Non_Exact","5320 ROSEWOOD PL, FAIRBURN, GA, 30213","-84.59583265599997,33.607352466000066","644645671","R"
"2309","4070  SUNRISE TRL  ATLANTA, fulton_county, GA, 303492532","No_Match"
"3635","517  MEHAFFEY DR  FAIRBURN, fulton_county, GA, 302131732","No_Match"
"4966","5313  ROSEWOOD PL  FAIRBURN, fulton_county, GA, 302135142","Match","Non_Exact","5313 ROSEWOOD PL, FAIRBURN, GA, 30213","-84.59542901499998,33.60747879300004","644645671","L"
"2308","4155  MORNING TRL  COLLEGE PARK, fulton_county, GA, 303492526","No_Match"
"3636","382  FAYETTEVILLE RD  FAIRBURN, fulton_county, GA, 302131768","Match","Non_Exact","382 FAYETTEVILLE RD, FAIRBURN, GA, 30213","-84.56951130899995,33.563231434000045","17376204","L"
