index,input,match,non_exact,street,coordinate,tiger,lr
"17288","1525 W SMITHFIELD LN  DOLOMITE, Jefferson County, AL, 350611019","No_Match"
"17289","420 W SMITHFIELD DR  DOLOMITE, Jefferson County, AL, 350611003","No_Match"
"17284","3831  TREADWELL RD  DOLOMITE, Jefferson County, AL, 350611108","Match","Non_Exact","3831 TREADWELL RD, DOLOMITE, AL, 35061","-86.96269649999994,33.47092921600006","81547210","R"
"17285","301 W SMITHFIELD DR  DOLOMITE, Jefferson County, AL, 350611023","No_Match"
"17286","328 W SMITHFIELD DR  DOLOMITE, Jefferson County, AL, 350611002","No_Match"
"17287","1637  FIVE ACRE RD  DOLOMITE, Jefferson County, AL, 350611036","Match","Non_Exact","1637 FIVE ACRE RD, DOLOMITE, AL, 35061","-86.96602659099995,33.467357400000026","81714071","R"
"17280","1315  13TH WAY  PLEASANT GROVE, Jefferson County, AL, 35127","No_Match"
"17281","404  14TH PL  PLEASANT GROVE, Jefferson County, AL, 351272647","Match","Non_Exact","404 14TH PL, PLEASANT GROVE, AL, 35127","-86.96785206399994,33.473919178000074","637680539","L"
"17282","417  14TH WAY  PLEASANT GROVE, Jefferson County, AL, 351272652","Match","Non_Exact","417 14TH WAY, PLEASANT GROVE, AL, 35127","-86.96807038399999,33.472918176000064","630205917","L"
"17283","437  13TH ST  PLEASANT GROVE, Jefferson County, AL, 351272625","Match","Non_Exact","437 13TH ST, PLEASANT GROVE, AL, 35127","-86.96971452299994,33.47877368200005","81546721","L"
"17299","1316  SIMMONS ST  DOLOMITE, Jefferson County, AL, 350611218","Match","Non_Exact","1316 SIMMONS ST, DOLOMITE, AL, 35061","-86.95400789399997,33.46997891400002","81642366","R"
"17295","1449  EDWARDS ST  DOLOMITE, Jefferson County, AL, 350611029","Match","Non_Exact","1449 EDWARDS ST, DOLOMITE, AL, 35061","-86.96171367799997,33.46803259400008","81714217","L"
"17296","1472  HILL ST  DOLOMITE, Jefferson County, AL, 350611025","Match","Non_Exact","1472 HILL ST, DOLOMITE, AL, 35061","-86.96188273399997,33.46710755500004","81547217","R"
"17297","1794  FIVE ACRE RD  DOLOMITE, Jefferson County, AL, 350611037","Match","Non_Exact","1794 FIVE ACRE RD, DOLOMITE, AL, 35061","-86.97013071299995,33.46757770900007","81714057","R"
"17298","3948  WALKER AVE  DOLOMITE, Jefferson County, AL, 350611050","Match","Non_Exact","3948 WALKER AVE, DOLOMITE, AL, 35061","-86.96875980199997,33.46647688300004","81740812","L"
"17291","510 W SMITHFIELD CIR  DOLOMITE, Jefferson County, AL, 350611043","No_Match"
"17292","506 W SMITHFIELD CIR  DOLOMITE, Jefferson County, AL, 350611043","No_Match"
"17293","1615 W SMITHFIELD RD  DOLOMITE, Jefferson County, AL, 350611020","No_Match"
"17294","406 W SMITHFIELD CIR  DOLOMITE, Jefferson County, AL, 350611044","No_Match"
"17290","513 W SMITHFIELD CIR  DOLOMITE, Jefferson County, AL, 350611043","No_Match"
